"0","courses","short_name","uni","location","country","instructor","crsOff","weblink","categories",
"1","Data Analysis and Statistical Inference ","statistics","Duke University","Durham, NC, USA","US","None","2014","https://class.coursera.org/statistics-002/","Statistics and Data Analysis; ",
"2","Probabilistic Graphical Models","pgm","Stanford University","Palo Alto, CA, United States","US","Daphne Koller, Professor","2012","https://class.coursera.org/pgm-003/","Computer Science: Artificial Intelligence; ",
"3","Neural Networks for Machine Learning","neuralnets","University of Toronto","Toronto, ON, Canada","CA","Geoffrey Hinton","2012","https://class.coursera.org/neuralnets-2012-001/","Statistics and Data Analysis; Computer Science: Artificial Intelligence; ",
"4","Artificial Intelligence Planning","aiplan","The University of Edinburgh","Edinburgh, United Kingdom","GB","Gerhard Wickler and Austin Tate","2013","https://class.coursera.org/aiplan-002/","Computer Science: Artificial Intelligence; ",
"5","Analysis of Algorithms","aofa","Princeton University","Princeton, NJ","US","None","2013","https://class.coursera.org/aofa-002/","Computer Science: Theory; Mathematics; ",
"6","The Data Scientist’s Toolbox","datascitoolbox","Johns Hopkins University","Baltimore, MD","US","None","None","https://class.coursera.org/datascitoolbox-010/","Statistics and Data Analysis; ",
"7","Game Theory","gametheory","Stanford University","Palo Alto, CA, United States","US","Kevin Leyton-Brown, Matthew O. Jackson and Yoav Shoham","2012","https://class.coursera.org/gametheory-003/","Computer Science: Theory; Economics & Finance; Computer Science: Artificial Intelligence; ",
"8","Machine Learning","ml","Stanford University","Palo Alto, CA, United States","US","Andrew Ng, Associate Professor","2012","https://class.coursera.org/ml-005/","Statistics and Data Analysis; Computer Science: Artificial Intelligence; ",
"9","Statistical Mechanics: Algorithms and Computations","smac","École normale supérieure","Paris, France","FR","None","2014","https://class.coursera.org/smac-001/","Computer Science: Theory; Mathematics; Physics; Chemistry; ",
"10","Digital Signal Processing","dsp","École Polytechnique Fédérale de Lausanne","Lausanne, Switzerland","CH","Paolo Prandoni and Martin Vetterli","2013","https://class.coursera.org/dsp-004/","Mathematics; Engineering; Computer Science: Artificial Intelligence; ",
"11","Bioinformatics Algorithms (Part 1) ","bioinformatics","University of California, San Diego ","La Jolla, San Diego, CA","US","Pavel  Pevzner and Phillip E. C. Compeau","2013","https://class.coursera.org/bioinformatics-001/","Computer Science: Theory; Biology & Life Sciences; ",
"12","Introduction to Mathematical Thinking","maththink","Stanford University","Palo Alto, CA, United States","US","Keith Devlin","2012","https://class.coursera.org/maththink-005/","Mathematics; ",
"13","Writing in the Sciences","sciwrite","Stanford University","Palo Alto, CA, United States","US","Kristin Sainani","2012","https://class.coursera.org/sciwrite-2012-001/","Humanities ; Biology & Life Sciences; ",
"14","Coding the Matrix: Linear Algebra through Computer Science Applications","matrix","Brown University","Providence, RI","US","Phil Klein","2013","https://class.coursera.org/matrix-001/","Computer Science: Theory; Mathematics; Statistics and Data Analysis; Computer Science: Artificial Intelligence; ",
"15","Control of Mobile Robots","conrob","Georgia Institute of Technology","Georgia Institute of Technology, Atlanta, GA","US","Magnus Egerstedt","2013","https://class.coursera.org/conrob-002/","Engineering; Computer Science: Artificial Intelligence; ",
"16","Introduction to Data Science","datasci","University of Washington","Seattle, WA","US","Bill Howe","2013","https://class.coursera.org/datasci-001/","Information, Tech & Design; Computer Science: Systems & Security; Computer Science: Software Engineering; Statistics and Data Analysis; ",
"17","Analysis of a Complex Kind","complexanalysis","Wesleyan University","Middletown, CT, United States","US","None","2013","https://class.coursera.org/complexanalysis-001/","Mathematics; ",
"18","Metadata: Organizing and Discovering Information","metadata","The University of North Carolina at Chapel Hill","Chapel Hill, NC","US","Jeffrey Pomerantz","2013","https://class.coursera.org/metadata-001/","Information, Tech & Design; ",
"19","Logic: Language and Information 1","logic1","The University of Melbourne","Melbourne, Victoria, Australia","AU","None","2014","https://class.coursera.org/logic1-001/","Computer Science: Theory; Mathematics; Humanities ; Engineering; Arts; ",
"20","Discrete Optimization","optimization","The University of Melbourne","Melbourne, Victoria, Australia","AU","Professor Pascal Van Hentenryck","2013","https://class.coursera.org/optimization-002/","Computer Science: Artificial Intelligence; ",
"21","Natural Language Processing","nlangp","Columbia University","New York City, NY, USA","US","Michael Collins","2013","https://class.coursera.org/nlangp-001/","Computer Science: Artificial Intelligence; ",
"22","Image and video processing: From Mars to Hollywood with a stop at the hospital","images","Duke University","Durham, NC, USA","US","","2013","https://class.coursera.org/images-002/","Mathematics; Engineering; Computer Science: Artificial Intelligence; ",
"23","Discrete Inference and Learning in Artificial Vision","artificialvision","École Centrale Paris","Châtenay-Malabry, France","FR","None","2014","https://class.coursera.org/artificialvision-001/","Computer Science: Artificial Intelligence; ",
"24","Functional Programming Principles in Scala","progfun","École Polytechnique Fédérale de Lausanne","Lausanne, Switzerland","CH","Martin Odersky","2012","https://class.coursera.org/progfun-003/","Computer Science: Software Engineering; ",
"25","Information Theory","informationtheory","The Chinese University of Hong Kong","Sha Tin, New Territories, Hong Kong","HK","Raymond W. Yeung","2014","https://class.coursera.org/informationtheory-001/","Information, Tech & Design; ",
"26","Games without Chance: Combinatorial Game Theory ","cgt","Georgia Institute of Technology","Georgia Institute of Technology, Atlanta, GA","US","Tom  Morley","2013","https://class.coursera.org/cgt-002/","Mathematics; ",
"27","Computational Neuroscience","compneuro","University of Washington","Seattle, WA","US","Rajesh P. N. Rao and Adrienne Fairhall","2013","https://class.coursera.org/compneuro-002/","Biology & Life Sciences; Computer Science: Artificial Intelligence; ",
"28","Think Again: How to Reason and Argue","thinkagain","Duke University","Durham, NC, USA","US","Walter  Sinnott-Armstrong and Ram  Neta","2012","https://class.coursera.org/thinkagain-004/","Humanities ; ",
"29","Big Data in Education","bigdata-edu","Columbia University","New York City, NY, USA","US","Ryan S.J.d. Baker","2013","https://class.coursera.org/bigdata-edu-001/","Education; Statistics and Data Analysis; ",
