"0","date","event_type","name",
"0","1/1/2002","due_date","",
"0","1/1/2003","complete_date","",
"0","1/1/2001","add_date","Buy Wood",
"0","2/2/2002","due_date","",
"0","2/2/2003","complete_date","",
"0","2/2/2001","add_date","Install Shelf",
"0","3/3/2002","due_date","",
"0","3/3/2003","complete_date","",
"0","3/3/2001","add_date","build core structures",
"0","4/4/2002","due_date","",
"0","4/4/2003","complete_date","",
"0","4/4/2001","add_date","build example code",
"0","5/5/2002","due_date","",
"0","5/5/2003","complete_date","",
"0","5/5/2001","add_date","document usage",
